player_name_ja,team,name_kana,player_name_en,is_foreign,source,備考
宮崎竜成,千葉ロッテマリーンズ,みやざき・りゅうせい,Miyazaki Ryuusei,No,DRAFT_2024,
一條力真,千葉ロッテマリーンズ,いちじょう・りきま,Ichijou Rikima,No,DRAFT_2024,
坂井遼,千葉ロッテマリーンズ,さかい・はる,Sakai Haru,No,DRAFT_2024,
広池康志郎,千葉ロッテマリーンズ,ひろいけ・こうしろう,Hiroike Koushirou,No,DRAFT_2024,
立松由宇,千葉ロッテマリーンズ,たてまつ・ゆう,Tatematsu Yuu,No,DRAFT_2024,
宗山塁,東北楽天ゴールデンイーグルス,むねやま・るい,Muneyama Rui,No,DRAFT_2024,
徳山一翔,東北楽天ゴールデンイーグルス,とくやま・かずと,Tokuyama Kazuto,No,DRAFT_2024,
中込陽翔,東北楽天ゴールデンイーグルス,なかごみ・はると,Nakagomi Haruto,No,DRAFT_2024,
江原雅裕,東北楽天ゴールデンイーグルス,えはら・まさひろ,Ehara Masahiro,No,DRAFT_2024,
吉納翼,東北楽天ゴールデンイーグルス,よしのう・つばさ,Yoshinou Tsubasa,No,DRAFT_2024,
陽柏翔,東北楽天ゴールデンイーグルス,よう・ぼうしゃん,You Boushan,No,DRAFT_2024,
斎藤大翔,埼玉西武ライオンズ,さいとう・ひろと,Saitou Hiroto,No,DRAFT_2024,
渡部聖弥,埼玉西武ライオンズ,わたなべ・せいや,Watanabe Seiya,No,DRAFT_2024,
狩生聖真,埼玉西武ライオンズ,かりう・しょうま,Kariu Shouma,No,DRAFT_2024,
林冠臣,埼玉西武ライオンズ,りん・くぁんちぇん,Rin Kunchin,No,DRAFT_2024,
篠原響,埼玉西武ライオンズ,しのはら・ひびき,Shinohara Hibiki,No,DRAFT_2024,
龍山暖,埼玉西武ライオンズ,たつやま・はるき,Tatsuyama Haruki,No,DRAFT_2024,
古賀輝希,埼玉西武ライオンズ,こが・てるき,Koga Teruki,No,DRAFT_2024,
麦谷祐介,オリックス・バファローズ,むぎたに・ゆうすけ,Mugitani Yuusuke,No,DRAFT_2024,
寺西成騎,オリックス・バファローズ,てらにし・なるき,Teranishi Naruki,No,DRAFT_2024,
山口廉王,オリックス・バファローズ,やまぐち・れお,Yamaguchi Reo,No,DRAFT_2024,
山中稜真,オリックス・バファローズ,やまなか・りょうま,Yamanaka Ryouma,No,DRAFT_2024,
東山玲士,オリックス・バファローズ,ひがしやま・れいじ,Higashiyama Reiji,No,DRAFT_2024,
片山楽生,オリックス・バファローズ,かたやま・らいく,Katayama Raiku,No,DRAFT_2024,
キャベッジ,読売ジャイアンツ,,Tyler Cabbage,Yes,FOREIGN_PLAYER,
ファビアン,広島東洋カープ,,Sandro Fabian,Yes,FOREIGN_PLAYER,
ドミンゲス,広島東洋カープ,,Dominguez,Yes,FOREIGN_PLAYER,
モンテロ,広島東洋カープ,,Montero,Yes,FOREIGN_PLAYER,
ネルソン,阪神タイガース,,Nick Nelson,Yes,FOREIGN_PLAYER,
デュプランティエ,阪神タイガース,,John Duplantier,Yes,FOREIGN_PLAYER,
ランバート,阪神タイガース,,Peter Lambert,Yes,FOREIGN_PLAYER,
ウィンゲンター,阪神タイガース,,Trey Wingenter,Yes,FOREIGN_PLAYER,
ハワード,阪神タイガース,,Spencer Howard,Yes,FOREIGN_PLAYER,
ヘルナンデス,阪神タイガース,,Hernandez,Yes,FOREIGN_PLAYER,
ボーマン,東京ヤクルトスワローズ,,Bowman,Yes,FOREIGN_PLAYER,
アビラ,東京ヤクルトスワローズ,,Avila,Yes,FOREIGN_PLAYER,
ボスラー,中日ドラゴンズ,,Bosler,Yes,FOREIGN_PLAYER,
マラー,中日ドラゴンズ,,Malla,Yes,FOREIGN_PLAYER,
ウォルターズ,中日ドラゴンズ,,Walters,Yes,FOREIGN_PLAYER,
マルテ,中日ドラゴンズ,,Marte,Yes,FOREIGN_PLAYER,
サモンズ,千葉ロッテマリーンズ,,Summons,Yes,FOREIGN_PLAYER,
ゲレーロ,千葉ロッテマリーンズ,,Guerrero,Yes,FOREIGN_PLAYER,
ヤフーレ,東北楽天ゴールデンイーグルス,,Yahoore,Yes,FOREIGN_PLAYER,
ディアス,オリックス・バファローズ,,Diaz,Yes,FOREIGN_PLAYER,
オリバレス,オリックス・バファローズ,,Olivares,Yes,FOREIGN_PLAYER,
ラミレス,埼玉西武ライオンズ,,Ramirez,Yes,FOREIGN_PLAYER,
セデーニョ,埼玉西武ライオンズ,,Cedeno,Yes,FOREIGN_PLAYER,
ネビン,埼玉西武ライオンズ,,Tyler Nevin,Yes,FOREIGN_PLAYER,
